"n"	"date"	"dream"
"0001"	"(2016-09-05)"	"I'm in Honduras at some kind of border crossing. A wide corridor of thick fenced scrub is off on either side.. Everything is grim, sinister, ominous. A few peasants silently plod up or down the hilly earth. It's a miserable, gloomy place. Everything feels cloaked in darkness. I try going forward, but after a time, something says ""Danger, turn back."" Not taking the winding paths, I trudge up the steep hills, making the work twice as hard, like my first treks in Guatemala in 1992. At a hilltop, I begin to choke for air. I make gasping sounds, I'm suffocating, dying."
"0002"	"(2016-09-06)"	"I'm talking with a young Hispanic man. He's someone I know, or someone famous, Carlos Santana? This man is patient, loving, kind. ""You know, God loves you,"" he says. ""I suppose so,"" I say, ""if you accept that reality."" We continue talking."
"0003"	"(2016-09-08)"	"I'm part of a bomber crew flying over a European or Balkan city. We're flying low, 200-300 feet off the ground. At a designated signal, the bombs are dropped over a wooded, jungle-like area. As we fly over the dense forest, I can partially see the smoke and flames through the aircraft's small windows. I hear the bombs exploding. The bomber crew ""ooohs and aaahs"" enthusiastically. The scene changes. I'm hanging from the first story of a large brick building. Across the street, about 100 meters away, another man, much higher up, is doing the same. Through my pants, I feel and then see a long swollen welt, like a large worm, or engorged leech, attached to my thigh. I'm bleeding. I shout to the men in the plane overhead, ""Hey, fella's, I'm hit!"" My shout alerts the enemy. The other dangling man drops to the ground. It's a long fall. He's likely dead. I drop to the ground. In an alley, I run to a large wooden barn door, painted Army green. Is it locked? I manage to push or slide it open it as a blond muscular man chases me. I enter the building, a large and empty warehouse-like room, with tall ceilings and a smooth cement floor. The blond man rushes in. I try to escape but he captures me. Moments later, four or five other men, storm into the room. Dressed in great coats they perform a dazzling display of martial arts. Then it's over. I'm a POW. There's no escape."
"0004"	"(2016-09-08)"	"I'm with my friend Joan outside a large church-like building. We're here to see an exhibit or hear someone talk. There are many people hoping to attend. Before entering the building, we look at the plants and trees. I make a silly remark about a fan-like tree leaf and feel momentary regret. As the line begins to move, we enter a low, crowded hallway. A man, possibly a priest, appears from a door way. He's stern, brusque. He says there are too many people. ""If you've already been here, you have to leave. That will take care of the metrics."" Near us, a tall, handsome blonde haired man, wearing a suit and tie, appears visibly hurt by these remarks. Then Joan and I walk into a large room taken up by two enormous square tables ringed by folding chairs. It's hard to get to the seats. I look about. Where is Joan? I've lost sight of her."
"0005"	"(2016-09-10)"	"I'm living with roommates in the basement of a house similar to the home of my childhood friend Frank. My area has a bookcase, which is organized and neat, but all around me are the clothes and Christmas decorations that belong to someone else. A roommate comes by. I ask him, ""Who owns this stuff?"" He comes too close; I fear he will fall on me and harm my hernias. Dogs appear. One has my right wrist in its jaws. The other has my legs in its mouth. I can't see them, but hear and feel their growls, the touch of their teeth. I yell, ""Stop! Stop it!"" several times, each time louder than the next. The dogs aren't vicious. They appear to be playing. But I have fear. I'm yelling, ""Stop it!"""
"0006"	"(2016-09-10)"	"With Jacque my Swiss friend I'm in a house similar to my friend Frank's childhood home. We're downstairs, with one or two intimidating men. Jacque is naked; he asks me to examine him. Unembarrassed, he squats on his hands and knees, exposing his anus. Visually, I inspect it. I ask if he's been raped. He indicates one of the intimidating men. He says it went in six inches. He has pain. I tell him I don't see anything. I ask if he has a discharge. He says ""No,"" but a small greenish particle falls from his penis and lands on his nose. I say, ""We should leave this place."" We enter a car driven by John the VA therapist. He drives around the house and takes a tight turn too fast. We nearly crash into a neighboring home. I say, ""That would have been really bad."" We drive away."
"0007"	"(2016-09-11)"	"I'm in a foreign land. There's a war going on. I decide to escape and climb over a large, tall hill or dirt embankment. Just before I go, a wild looking Hindu man approaches. We talk. He asks my destination. I tell him I have parents but no home. He offers to help me find several Hindu cities and towns that are written on a map or large piece of paper. I need water. I'm thinking, I'll drink contaminated water and get diarrhea, but I need water. There is a meeting with four other prisoners. We discuss money. I ask if one's bank account is shut down if one escapes. No, it is not. We discuss dates. Each of us has a release date. Mine is October 6th, only thirty-two days from now. To leave or to wait. What to do. Leave and risk, or wait and endure?"
"0008"	"(2016-09-12)"	"It's night. I'm a guest on the top floor of a very large old house. The owner (someone I know) and I are waiting for someone, or something to arrive. He gives me a tear gas pen which has a small light. Later, I'm wearing an LED headlamp. My room, like the rest of the house, is piled with artifacts, furniture, many old things. There is a sense of foreboding, of vague danger. The lights go on and off. I go to a room where my mother is sleeping and ask her what's going on. Next, I'm speaking with the owner. We agree no one is arriving. On a table in a hallway crowded with bric-a-brac, I see a book. It's by a Russian author, a collection of poetry, or a play, or short stories. It's been translated, or is a hybrid of English and Russian. It must be 3 or 4 a.m. The owner says his friend is going out into the night. He uses a phrase that connotes seeking sex. I do not go with him."
"0009"	"(2016-09-14)"	"I'm walking in a familiar neighborhood and decide to enter a house where the family, who are lively, active and happy, trust me, though I have other purposes in mind. The husband and wife, a young couple, are preparing dinner as I nonchalantly walk in. The wife, who is tall, young and beautiful, is wearing a long light-green gown. We watch the white silhouette of a large lobster swim in the clear water of a lake or aquarium. The creature swims about looking for food. How does it eat? Suddenly it darts upward and snares a large moth. I'm the first to see it, and tell the husband and wife. We're excited, but I have others purposes in mind. I'm young. I feel very alive."
"0010"	"(2016-09-15)"	"I've been traveling, and am now in Switzerland at a posh mountain hotel. I'm with other people in a large spacious room, a kind of hall; the walls are made of glass. There's a dance or social function taking place. I'm with another man, a friend or acquaintance. I'm wearing very colorful jeans, clothing I would not ordinarily wear. I begin talking to an attractive woman with short blonde hair. She remarks about the jeans. I say, ""I saw them and had to buy them."" A criminal-like man enters the room through its glass doors. He is unctuous, intimidating. At one point he socializes with us, then becomes angry at my friend, lifting him up, almost fighting him. My friend owes him a gambling debt. I intervene, telling the intruder to leave. He backs off, appears to go, but loiters outside, before slinking back to the glass door. I walk over to him. In the doorway, I say, ""I'm warning you. I'm going to hurt you."" He leaves, but not for long. The woman has left. I want to find her, and go outside. It's beautiful here. I'm relaxed."
