"n"	"dream"
"0243"	"(2005-01-27 (14)) I was at the movies with the school except it wasn't? Parvati was there and everyone was being gay. Then we were at a classroom. We were doing art and I had to find somewhere to sit, but everyone was making it so I couldn't sit next to them."
"0244"	"(2005-01-29 (14)) There were people from Alias and Victor Garber had this really cool handwriting that I tried to copy. We were doing some mission thing. We tracked down people to a castle thing. I don't know what happened, but we got passed (I think we shot some) guards and then this person caught us and people or something were shooting things at us. None hit us and we escaped with ""important information"". We picked up a call that was meant for other bad guys. They were saying stuff in code that I worked out and they had said something about a playground. Victor Garber's handwriting I mentioned earlier was seen because he had written a letter that I was reading at the castle place. It explained some information about the castle. He had weird t's that looked like the t shown in the diagram, but they were cool. We were at some desk place. There was one person per desk and people were inspecting them. I opened a door and some guy was there and I was apologizing but I actually had to go in to get some messages. Then we were at the playground. The bad guys were almost there which we knew because we could hear their car. We left two people there with a note saying ""Do not harm or we'll play Jay-Z and some woman singer [don't remember who] "" and they didn't hurt them."
"0245"	"(2005-01-30 (14)) I was at an airport, and there were creepy creatures there with levels. Jayson was there being gay."
"0246"	"(2005-01-31 (14)) I was at some hotel and Ezra went swimming with seals in this fake little beach thing they had. It had waves and all. I was all of a sudden in a hallway in the hotel, running from the water. There had been a leak and I was following four horses? I got to a door and closed it and ran upstairs and the water came through."
"0247"	"(2005-02-01 (14)) I was at some shop/Timezone place with David Anders (we were friends). I turned around to say something fusty and then I 'dreamt' what would happen, I can't remember what was said, but it turned out badly. When I finished the 'dream', I couldn't find him. I think I found him again and I 'dreamt' again and I saw Jennifer Garner and he was making out with her. Then I finished that dream, and I don't remember what happened properly, but we found out that we liked each other and then we supposedly had sex, which I don't remember and then we were lying in bed and he said something about some Banana in Pajama's banana's penis and I said something how he couldn't have sex because it was probably smushed when he was born."
"0248"	"(2005-02-02 (14)) Some crazy guy came over looking for Mom. Her car was here, but she wasn't. I told him this and he threatened me with a knife and I told him again. Then he drove off and Mom came back. Mom and I went to the shop, a deli, and they had Blade costumes. There was Blade and some fat lady one. Mom got Blade for me, size 69, which was really small, though it was a large/medium. Anyway, it was too small and I wanted to go back but she didn't. Then I was at school wearing it and then I scared some evil spider off. Jayson was writing something about his birthday and I said I forgot to do that this year and he thought I was just copying him so I got on the computer, but could only find prev [can't read, starts with a p, and is possibly 'previous'] . This happened at a cemetery? The crazy dude came back. Someone had a baby. Johnny Knoxville was there, but he was some ""Apple"" guy. Then the father of the baby got killed. Johnny put his clothes on and sat in his truck. It had a big playground area for an animal on the back. I saw him and he motioned for me not to tell anyone so I didn't. I got another costume, which was size 71, and it fit. Some people came and we said the baby was dead. They thought it was a joke and we made them run through the house to get out and then I found out that the baby was alive."
"0249"	"(2005-02-04 (14)) Kaitlyn, Jocelyn and I were friends. We were in class at some weird place and I said something about Fat Nicki and Kaitlyn having a fight and Kaitlyn got upset. Jocelyn wrote me a note or email saying I was cool, but I shouldn't have said it. Something happened at a video shop, but I don't remember."
"0250"	"(2005-02-05 (14)) Louis and Gage (both Pet Sematary) were at a park place with lots of trees. Louis was in a tree poking an octopus and trying to make something collapse. There was some toy that kept being advertised and Gage wanted one. In the park, I think someone was murdered. A holocaust of some sort was happening and Louis was either trying to kill or protect Gage, but I don't remember which."
"0251"	"(2005-02-06 (14)) There was this person I knew who could 'call' water and control it. Some 'friends' and I were at this creepy place and there was a flood thing. My friends and I were only a few of the people still alive and we were at this school looking after some noob kids. Some retard chicken hatched. We left and I ended up at a shop place with escalators. It started flooding, and we all started running up, but I realized I would get caught, so I jumped down and swam back to my friends. The water girl also caused a little wave while we were walking. And there were people holding a meeting."
"0252"	"(2005-02-07 (14)) I was friends with Yelena. There was a hotel with creepy monsters. Also, Yelena said she was my friend, but she wasn't my best friend but she was? Her ex, who was hot, came back and she asked me to write a list of the hotest guys out of a list. George Clooney and her ex were on the list. Also there was a creepy taxi guy."
"0253"	"(2005-02-07 (14)) Veronica lived at home and was fat and disabled. I threw her because I got angry and then she and Dad went to a hippy party. I spilled honey on my school shirt. Dad had a party book thing."
"0254"	"(2005-02-09 (14)) There was a holocaust happening on the 21/3/05 (the day before the Green Day concert) and it did. Bombs fell from the sky and the house was getting destroyed and then me and a heap of others were in space and then these aliens put us in this big spaceship. There were lots of people. Ezra and I were together, but we couldn't find Dad. The alien explained that 2000 years ago something happened and it would cause a holocaust on this day. They had being trying to stop it since. I was worried about not seeing the Green Day concert and my stuff and the pets. Then they said that little brothers could come and pick a dog for the family. I walked off for a second and Ezra came back with a big brown puppy. I said to call it Chico and Ezra said that it was a gay name. I also complained that it was a big dog and that he should've gotten a smaller one. Then I saw Mom and Darren and they had a black and white dog. I told them to call it Chico. Then Ezra said ""I thought ours was Chico"". I was upset because I hadn't known whether Mom and Dad were alive or not."
"0255"	"(2005-02-10 (14)) I was at a house which had a pool and my class was doing swimming. The house was spooky and in the walls were big scary rooms. I think there was a shop ""attached"" to the house. The room filled up with water and me and this lady had to run and close the door, but the door was going to open because of all the pressure. We ran into the store to a container of water and then the water came but was coming over in little waves. We ate M & M's and there were gnomes. We opened a door and the water was gone."
"0256"	"(2005-02-11 (14)) I knew 'Jesus' who looked exactly like Jim Caviezel. We were close. There was this place, a cemetery, where Jesus' grave was. It was hell hard to find. Anyway, these people kidnapped me and I knew them a little and they took me to the grave. They were going kill me because they didn't like Jesus or something. Anyway, the ground was shaking and no-one seemed to notice. Jesus was coming to get me."
"0257"	"(2005-02-11 (14)) There were two freaky frogs. I was in a sandpit playground with the class. I was looking for money?"
"0258"	"(2005-02-13 (14)) Something happened and my phone broke or something. I went to this shop and the guy working there told me to take a free phone cover thing but none were for my phone. I remember Michael Palin was there somewhere, but I don't remember why."
"0259"	"(2005-02-14 (14)) There was this girl called Cheyenne, who looked a little bit like the real one, but she was foreign. The real Cheyenne looked different and had a different name. She wanted to be my friend and kept following me, but she couldn't speak English. I was in a toilet and the door was munted because I went to the special toilets, there were two sections. One section had loose doors and was for noobs, and the other section had better doors and I changed to a good toilet. Mom, ""Cheyenne"", and I were in a car and Mom was taking us somewhere but I don't remember where."
