"n"	"dream"
"0492"	"(2006-01-28 (15)) I was at some place and I fell into some tube tunnel thing. The Beatles were hanging around. John Lennon and Paul McCartney got trampled the most and I gave George a hug before he got trampled. John and Paul started walking back and I said ""Hello, don't worry I won't mug you!"" Then I was at a school and I'd been away for a while. I had to sit next to Cedric. There was lots of paper. We were laughing because of Ezra. There were trophies. The people there were giving this girl there chocolate. This girl and guy were psychic. They were in a car and someone had a dream about a bar."
"0493"	"(2006-01-29 (15)) There was a mud monster at a hotel. Then I was at Mom's, as was the mud thing. I was climbing up the poles, and it was following me. I got in the car and it grabbed onto the door. I drove to the dump to get rid of it."
"0494"	"(2006-01-30 (15)) Mom called me to go to some woman's house, which had a messy yard. I was talking in an Irish accent. Mom was somewhere writing letters. She signed it Evelyn? People were in shelters, but I don't know why. Mom came to Nana's one."
"0495"	"(2006-02-02 (15)) I was watching Kenny vs. Spenny. There was a movie and there was a shop with spells. Nobody really liked Kenny. Spenny was following a girl and her boyfriend stole food. Kenny was making spells."
"0496"	"(2006-02-03 (15)) I was friends with Ezra and we were at the library at school. He decided to stay at Brookland High School. We were going through a carpark and I dropped my shoes, so I went back and got them. Then we dropped Ezra's shoes and a lady took one, but I got it back. She kept trying to break my arm. These people were running from the bad guys, and some were getting killed. This guy hid in a strange place. Someone didn't believe something (that I don't remember) was down these holes. There was something to do with bread. Nana was waiting for a helicopter. I was angry at some person and some dude was laughing because I was angry."
"0497"	"(2006-02-04 (15)) I was at some place. I was in a group for school. Daryl was in my group. I left my diary somewhere. Someone brought it over. Daryl stitched something into the cover. I can't remember properly but it said ""from your loving mother, Daryl"". He was going to Hull for two weeks starting January 1."
"0498"	"(2006-02-05 (15)) It was nighttime. Dad went psycho. We had meetings at Mom's house. Dad threatened to shoot us and Mom stabbed him. His body was never found. Some person and I ran a shop. These guys were waiting. One of the guys came out and raped and killed my friend, but I managed to get away. I found this other rapist who, after bribing him to leave me alone, I started going out with. We were at a place for Grim Reapers. I was there, but I wasn't dead. Not everyone there was a Grim Reaper. These guys were making fun of me."
"0499"	"(2006-02-13 (15)) Someone was in the house and I thought it was Calvin and it was. He was being nice etc, but then ended up at some place with a portal thing. He was looking for some dead girl in ice."
"0500"	"(2006-02-15 (15)) I got a job at Red Rooster. I was there, and Mr Norris worked there. This guy hung up a rack and said ""Congratulations"". I was like ""What do I do now?"" and he said ""Nothing, wait for training""."
"0501"	"(2006-02-16 (15)) I was at school. Melodie was there, but sometimes she was Tiana. There were cookies and Calvin was there."
"0502"	"(2006-02-17 (15)) I found out that Payton liked me when I was younger. His mother said he ""loved me so much that he couldn't kiss me"" and that he always liked me. I was like 'What the hell?'."
"0503"	"(2006-02-18 (15)) I was at school. Dad was there and everyone was crowding around for something and Daryl stood right in front of me. He was in my class and form, along with Calvin, Silas and Samantha. I filtered these two bits of rubbish. There was a fluffy microscope and lots of little kids."
"0504"	"(2006-02-19 (15)) I wanted to get to Fiji, which was the shape of the island in The Truman Show. Some person and I were pretending to be from Fiji because we had someone's luggage."
"0505"	"(2006-02-19 (15)) I was at Granma's and she had my school photos from Year 3 and 5. I took them and also found some more cool photos. Ezra and I were on this thing, like the top floor bit of a barn. It had movies and books on it. There were three kids down below, and Ezra and I were throwing stuff at them. Ezra was singing 'The Weight'."
"0506"	"(2006-02-19 (15)) I was watching The Devil's Rejects and I was in it, like I was watching the movie inside it. I kept touching Otis because he is hot. Then it was real and I don't know."
"0507"	"(2006-02-22 (15)) I won $620,000, $1,000 and $7 on three different scratchies. I brought them to a news agency to check if they were real. I had to get the money $2 a month. Evelyn won $200,000. I was in a car with Mom, and it was cold. There was something about an iPod. I dreamt everything again, but it was different."
"0508"	"(2006-02-23 (15)) There was a sports carnival. I ate my lunch before school accidentally. There was a Ventura thing. I was watching [something or someone] . Ezra put something for him? Everyone was hugging me. It was Samantha's birthday. There was a bomb with chicken? Something was jumping over something to the end. There was a squishy table. [My notes were extremely messy] ."
"0509"	"(2006-02-27 (15)) This guy parachuted into our yard and he looked like Michael Palin as the It's man. Someone was watching an adult movie. The parachuting guy accidentally landed in water. Heaps of people died. I was there too, but I was ok."
"0510"	"(2006-03-01 (15)) I was at this place and most people were under 15. It was all playground like. There were a couple of older people. Everyone there was supposed to be gay. I wasn't and I saw this guy on an escalator, and he saw me. We both kept trying to meet each other. We found out why everyone was like this, but I can't remember why. I finally met the guy in this 'ball'."
"0511"	"(2006-03-01 (15)) I was at school and I went to the toilet and the cubicles had no walls. People were complaining about CS [I don't know what it is] ."
"0512"	"(2006-03-01 (15)) Someone had high hit points. We had form and I kept going to Evelyn and Silas's. Someone was getting paid $50 an hour. Mr Norris gave Jake money. He gave me $275 and he gave Samantha $6200. The amount he gave her was a mistake. There was a naked girl with an orange face."
"0513"	"(2006-03-03 (15)) This guy with a chainsaw was hiding in this cupboard thing. He had been after us before but we got away."
"0514"	"(2006-03-03 (15)) Ezra and I had people over. We were playing a game with cards like 'mage' etc."
"0515"	"(2006-03-03 (15)) I was at 'school'. Tiana and Melodie asked me if I wanted to play tennis. Elijah was playing tennis too."
"0516"	"(2006-03-03 (15)) We were standing outside this house, which told Ezra to go to the top floor for presents. He thought it was a trap but he went anyway. I went up and fell down. I yelled at Ezra to come down. There was a bath in there letting out water."
"0517"	"(2006-03-06 (15)) Our school was actually this evil school like in The Outer Limits. The people that went to the school all had gone 'straight'. Daryl, some random nerdy dude, a girl, someone else and I hadn't been converted. We decided to escape. Daryl and I tried to get the other people. The nerdy dude caught us and brought himself along. Daryl was trying to get his brother. We got to a park."
"0518"	"(2006-03-06 (15)) Daryl, some person and I were at this house. The lights were out. Daryl turned into a dinosaur. We ran off. Later he wasn't a dinosaur and this other person was. Then lots of people were. I was at this restaurant and you had to get a ticket and then pass through this thing. Daryl turned into a butterfly. People from Year 1 were there. Daryl and I ran off to these woods and found this thing. He went inside a tent. I went to this toilet. Tanita and this guy came in. There were guards near my cubicle. She got raped or something."
"0519"	"(2006-03-09 (15)) Jayson came to Red Rooster, where I worked. Samantha and Silas were outside. Jayson was talking to me and he was saying that he wasn't going to be back again, and that's why he was here, to say goodbye to Ezra. He said he was going with this under-21 gay thing. I was like ""What the flip?"" He said ""Oh yeah, you don't know I'm gay. And I was like ""What the flip?"" again. He also told Mom and then Ezra. We were all shocked that he was gay."
"0520"	"(2006-03-10 (15)) I was in a classroom and I was sitting in a group with Evelyn, Calvin and someone, Daryl and someone else. I had a video camera and all our faces looked green. The camera wouldn't record. Max Schreck and Alfred Hitchcock were making a movie together."
"0521"	"(2006-03-10 (15)) Silas got moved to my health class, but not to my Phys Ed class. But in Phys Ed, he was there. He was asked to go get these two girl things (called Appley) and to see Max Schreck and Alfred Hitchcock (it was a different dream though). I told Evelyn that I wanted to go with him. He then asked if I could come with him. We went down, but he kept getting distracted. Calvin joined us, and then Calvin and I made it to this storage place. We found Silas and then Seamus came in. We didn't know what to get. Samantha and her 'clone' said they didn't know either."
"0522"	"(2006-03-12 (15)) Mom, Darren, Ezra, Jayson and I were at the 'zoo'. It was inside, I think. It was all water animals and you got a sheet to tick off which animals you touched. Some of the animals listed were electric eel and jellyfish. I didn't want to touch any of the scary ones (ie, jellyfish). Mom got angry at me."
"0523"	"(2006-03-12 (15)) There were fairies in the pool. Twice a year they would give out these wipes which would let you fly for a while. There were wipes with Dolly and Girlfriend in a bag. It got stuck, but then it continued to fall. Samantha was telling me about some hot guy she had met, and then she realized it was her cousin."
"0524"	"(2006-03-12 (15)) Ezra and I were playing out the front of Mom's house and a limo turned up. Johanna and her family stepped out."
"0525"	"(2006-03-16 (15)) Calvin was running this thing at school but he sucked, so the teacher was getting people to vote for a new person. Nothing happened though. I saw Eugene kissing Cassie, and then again at a car as well. I got a hotdog and I couldn't find any tomato sauce."
"0526"	"(2006-03-18 (15)) The school was at the Royal Show. I had to do a project on how fast this ride went. It was really gay. We had to wear gloves. I didn't have any money. All of our bags were together; one had Hrvatski written on it. Samantha held my gloves. Nana was running a deli there. Elijah got a chocolate. Nana said she would pay for me."
"0527"	"(2006-03-19 (15)) I was at a museum and me and someone had to sneak past these people to get in. Someone had to deliver a letter to me. I hid behind a door, and then ran out to the car. The car was actually a four-wheeler, except it was different. Dad and Ezra were already on it. I hated it. We went to an ice-cream shop. They made one for Ezra and he didn't like it because it wasn't 'tight enough'. Dad tried to give it to me and I kept saying ""I don't like chocolate ice-cream""."
"0528"	"(2006-03-21 (15)) There were lots of tornadoes. I was running away from them and ended up in a bunker place. There were these parents and a kid there. The mother was called Astric and she was a quadriplegic. The kid was called Rottic and had AIDS. They all got killed. Tornadoes were going to wipe out the Earth. Rascal was near this snake. Calvin, Silas, Samantha and I were at a shop?"
"0529"	"(2006-03-22 (15)) I was in the dining room and the pool table was in there, with letters on it. Daryl messed it up and I was setting it out and he was sitting with me and I was listening to music. I went to the toilet and something was peeing in the sink in the bathroom. When I went back, Daryl had changed the music because he thought it was gay. My phone had something about Donald Brown (an ugly townie Sim on Sims 2). Calvin and Silas were around somewhere too."
"0530"	"(2006-03-25 (15)) There was thing at school and we got paired up with people. I don't know who I got paired up with first, but this particular time I got paired with Eugene. He was on a computer playing Runescape and I said that I'd been playing for 3 years [in reality, almost 2 years, in the dream I was telling the truth though] . When he got off we were talking about it. He also played Sims 2. There was all this water around. We were in this canoe and it was broken. Someone threw bags out of a window (of a house that had cars in it) and onto another boat. Daryl was in Calvin's class. Ezra was in a line for the computers. The next time I got paired up with Samantha and I was angry about it. I was watching the episode of The Outer Limits with Colin Mochrie in it, but it wasn't him."
