"n"	"dream"
"0076"	"(2004-01-26 (13)) Ezra and I were in the water. The only way to get out was to get over this platform, under which an octopus/squid lived under. We kept trying to get on the platform, but the squid thing kept coming out. It grabbed me and pulled me under and I couldn't breathe. I got up onto the platform and the squid thing bit me on the right side of my hip. I jumped up and got fully out of the water. [When I woke up, it hurt where it had bit me] ."
"0077"	"(2004-01-26 (13)) I was at a park near the school with Ramona and Tiana. It was raining. We were on the swings, and then we were running from something. We ended up at this freaky castle thing that was in the clouds. I saved lots of people but I don't remember how."
"0078"	"(2004-02-11 (13)) I was at a strange haunted house. I went in there, why I don't know. A few people, who were all friends, had died. The rooms would change around. I went into this room with some others, which was a mirror maze, but you couldn't get back through the door. We all held hands as it kept getting darker. I got to the end and went through door into this waiting room. A friend of mine, called Suzanne stayed with this old man. I left that room. I went in a room with a chocolate cat person. It changed into a fluffy cat. I threw it into a light and it burnt up and hissed and died and went green. I went into another room and died. I was then a ghost. Ariana could see me, but said I was blurry. I helped Dad to find a friend of mine."
"0079"	"(2004-02-11 (13)) I was at a water thing. I went in the water with my head popping out of the jetty. I was then at a park near it. I was friends with Froggy, which was a green crocodile. Some guy came up to me and tried to steal my phone. I was trying to punch him but it was slow, so I kicked him to the ground. His mate said something about his mother, he cried and then left."
"0080"	"(2004-02-16 (13)) Julius was friends with Ezra. I was at school on the floor in front of a lounge with Tiana and I was reading a Pokemon book. Julius grabbed my shirt and pulled me back. I said ""What the hell do you want?"" he said ""I just wanna say..."" and I said ""That's nice"" and went back to Tiana. He started reading my Pokemon book and wrote 'water against grass is hard'. He came to our house. He and Ezra went into my room to find my diary. I shooed them out. I got my diary and went to the games room to put it in my safe. Ezra started talking to me and I put it down and Julius was behind me and I thought that he had read it. He took it but then put it down and I was bashing Ezra asking if he read it."
"0081"	"(2004-02-16 (13)) I was on this big hill thing during Phys Ed. A little pit bull chased me down it. While we were in the Phys Ed room, Julius was in there watching me. I dreamt I was talking to someone then Julius looked passed me to a girl (who was me) and a guy talking. Then I thought he had read my diary so he could make me jealous of who I liked except that it was him."
"0082"	"(2004-02-20 (13)) Julius lived where [Co-Worker-M-02 and Acquaintance-M-06 live] . He came over one day and that night Mom came over and we went under a tent with Ezra. Ezra got out and we were giggling. We got out and he walked home all serious. I heard that he hated me. But he kept coming over and something else happened but I don't remember."
"0083"	"(2004-03-16 (13)) I was at some strange spooky place with evil traps, but it was actually a game. There was hot water, and I ended up pausing the game. I woke up in some chamber which had spikes. I went through a tunnel. I hit a ball three times and it exploded."
"0084"	"(2004-03-16 (13)) I was in a computer lab talking to Tiana and Julius and Xavier (the mute). That scary red haired dude tried to bash us."
"0085"	"(2004-03-17 (13)) I was at Valerie's and it was very different. I looked out the window to see some guy throwing cats off walls. There was a greenhouse thing. I went to this toilet cubicle that was in the kitchen after being chased by an evil clown. I was on the toilet and Teacher-M-03 sat down on chair at table. I recognized him but couldn't remember who he was. He had his legs folded and his hands were clasped on top, and he had this big grin on his face. I said ""Who the hell are you?"" and he said ""I'm Teacher-M-03"" and as he bent down to his suitcase I ran out of the toilet screaming. Then he turned into an evil clown."
"0086"	"(2004-03-30 (13)) We lived at a beach house thing and Enrique Iglesias lived with us and he always stayed in his room."
"0087"	"(2004-04-02 (13)) Tiana, Jonas, someone else and I were walking in these woods. There were lots of dead trees. We had been walking for 3 hours. I saw a sign and then we went to this hut. There was a red flag at the top of this hill."
"0088"	"(2004-04-02 (13)) I was at school in math. Someone was reading out the math people who had never done badly -- Tiana, Classmate-F-07, Mariana, Classmate-F-12, Brooklynn... Classmate-F-07 was singing and she had a strange accent. I was swimming in someone else's bathers. Julius kept smiling and talking to me."
"0089"	"(2004-04-03 (13)) Jonas and I were going out or something. I kept kissing him. He was in a car saying goodbye and I grabbed his head and kissed him, and we were acting totally normal."
"0090"	"(2004-04-25 (13)) I was a spy with Johnny Depp. We were at a shop and it was all freaky like. There were coats and clothes everywhere. I went into this thing and was talking to people and then it was swinging around."
"0091"	"(2004-04-25 (13)) Everything looked old fashioned. I was sleeping. Jayson and some others were there too. Johnny Depp saved me from these vampires and carried me away. I was talking to a girl from From Hell about threesomes or something. I was then at school. Jonas and Jayson were dressed as cows."
"0092"	"(2004-05-13 (13)) Ezra and I kept going to this water park thing. We had gone there with Jayson, and Julius had gone there too. We were having races and people from school kept turning up, which was annoying."
"0093"	"(2004-05-14 (13)) I was at school which was really different. I went into the boys toilets by mistake. There were lots of photos outside. We got our school photos back, but it didn't have Julius and I got angry."
"0094"	"(2004-05-14 (13)) Acquaintance-F-01 stole our digital camera and took photos. I got really angry and chased after her and strangled her to death. I was swinging from buildings by electricity wires [like Spiderman] . The city was near the sea. There were big waves. I landed on a big hill at a park. Cedric was walking up the hill and I fell in love with him. Then we walked over to the side of something near the sea. A big wave knocked us into the water. I grabbed him and we swam back to shore."
"0095"	"(2004-05-21 (13)) Ezra and Mom died but I didn't know. They were at home, but Mom was acting weird and she said she was going to feed the cats, so I followed her, but she was out the back and the door was still locked. This guy took me to the ""dead place"" and told me to go somewhere, but I realized they were going to kill me and so I ran back. I was staying in the dead place but I was still alive because the guy (even though he was old) liked me. I fell off a cliff and Ezra saved me."
"0096"	"(2004-05-22 (13)) Some people were putting drugs in sausage rolls. I opened one up and it looked really gross. I gave one to this guy. Then Tiana, Jayson, some others and I were in some house playing strange games. The guy kept calling me ""Disco"". We all got locked in the toilet. We were sleeping in sleeping bags. Jayson came over to mine and we sat on the edge of some grass thing and we started kissing. But it turned into a cartoon where Jayson was some scary fat cartoon guy (like Cartman)."
"0097"	"(2004-05-23 (13)) This ship with teenagers on it sank. All the men were going to die, but most of the girls stayed with their boyfriends. One pretty girl left. Our S & E class was going on a field trip. Kallie, Moira, two others and I were in the bus. Teacher-F-07 went to get something and Kallie started driving the bus. She started going up a hill with everyone screaming, then she let it roll back, but the bus tipped right and we screamed more and hurt ourselves but Teacher-F-07 saw and only rushed to see if Kallie was alright."
"0098"	"(2004-05-28 (13)) A bunch of us were at an electronics store. Some people broke in and we went to hide, but I was too fat to hide anywhere, but I fit in a beanbag."
"0099"	"(2004-05-28 (13)) I was at a dinner thing with people from West Whitehall Primary School. It was a big building and there were lots of windows. A thing called a Grurie attacked us, but I managed to escape. I ran off and I was near Midvale High School and I saw the Grurie following me so I called Mom but she started carrying on about her day. She wouldn't come and get me. She kept saying ""Ooey gooey Grurie"". [I then think I woke myself up] ."
"0100"	"(2004-06-12 (13)) I had an island for some reason. Jayson and Ezra were on it as well. We were shooting bad guys (it was game like). Colin Farrell was there. He came into my room and I wouldn't look at him and he wouldn't leave me alone."
"0101"	"(2004-06-13 (13)) Ezra, Jayson, Dad and I were at the coast. Jayson and I kept going for swims in this sticky black stuff. There were big freaky waves."
"0102"	"(2004-06-14 (13)) There was a strange game thing with an evil snake creature. At a garage-y place. Evil people were driving cars. We were running and hiding from evil people."
"0103"	"(2004-06-14 (13)) I was at a market, and I went to dinner with this guy. But he was someone special's son, so I wasn't supposed to see him. I was then at dinner with Nana, but Granma reckoned that I was supposed to be going to dinner with her."
"0104"	"(2004-06-20 (13)) I was at some freaky place. I had two puppies called Chico and Widget and they were the same size. Some crazy stuff happened. I took Mom's car, but it was a manual, so I took the auto. I drove out to this place and got in and it was like a jail. I got Eli (Children of the Corn 3) and we went back, but the cops were chasing us."
"0105"	"(2004-06-22 (13)) I was at a private school. Eli (Children of the Corn 3) was there too. I wasn't sure if we were friends but we had to get out and I went to find him. Then Eli, Jayson, Ezra and I met up with Mom and she gave us a chicken thing. I realized I was eating a flobby chicken foot."
"0106"	"(2004-06-23 (13)) Nathan (Queer as Folk (UK)) was walking home from school and I was walking with him. Mom picked us up and took us to Alexander's (also QAF). We all got in a car and drove to a salvage place, where Ezra brown-eyed some people. A nuclear power plant thing exploded. We had to get away from the air/smoke. I ended up at Kingsway shops (except it wasn't). There was a McDonald's inside. This Native girl and her friend were putting their face on this machine and stuff happened -- they turned French, blind etc. I was getting people and Widget into McDonald's. We shut these glass gate things just in time. Stuart (QAF) was there. There were about 8 or 10 people. I saw a tunnel and said that some people had to go through in suits and close the big shop glass doors and suck the air out. Some guy asked why I was the boss. Three people, including Stuart, said they would do it. We went through the tunnel and a big auditorium thing was there. We kept going and they went out and shut it. Then we were all inside the big shop again. The air started to clear up, so we went outside and saw some animals, and we let them in, but the air started coming back, so we shut the doors, but Stuart and someone were still outside. I ran through the tunnel and saw Stuart feeding this cat. I started banging on the window, and he looked up at me and he finished and ran to the door. I was going back and he caught me in the auditorium. We walked back. Later I saw an orange cat, the air was clearing and so we let the cat in. The air started coming back. Stuart was yelling at me to get back inside. I got back and had to lock the door. Stuart wasn't in sight. I found the keys and locked it. I went to find Stuart. He was in a bedroom."
"0107"	"(2004-07-01 (13)) The Day after Tomorrow happened. I was the guy (Jake Gyllenhaal) but it was from a third person view. The girl (Emmy Rossum) was with me and I was stuck in a crazy ice thing. An evil iron was trying to get me."
"0108"	"(2004-07-07 (13)) I knew Spiderman. He was fat. I was on a building and I didn't like going on the edge. I had to sleep in a bed with a girl."
"0109"	"(2004-07-07 (13)) A big wave was coming. I met others in a little shop thing. We pulled a plug and the water drained back. Then we were in water and a water version of myself was fighting me."
"0110"	"(2004-07-07 (13)) I was at some place with this guy and girl. We jumped into this car and drove away. The guy went into the back and the girl went to get in, but zombies (Dawn of the Dead remake like) got her. I drove off. I got out of the car, and the guy died. Some girl helped me into a big dark underground thing. She told us to stand, then didn't let others stand because zombies were watching. We all got up and went up this slide. She left and told us to stay there. The others wanted to go but I made them stay. She got back and we ran outside towards the sea. We swam and a zombie bloke came after us. We drowned him and got on a boat. [note: I referred to the zombies as 'DOTD ppl' LOL] ."
"0111"	"(2004-07-07 (13)) I was at Jungle Gym. The people wouldn't let us (Whitehall High School people) in but they recognized my name. Ropes came down from the ceiling. We had to get away from this crazy monkey lady. Then we were having free time. I was swinging from ropes into the foam and then crawled through a tube thing and Mariam was waiting and sitting with us."
"0112"	"(2004-07-05 (13)) I was friends with Spiderman (and also Peter Parker) and I was trying to get him to talk to Mary-Jane. We were in a big place and she came and sat next to him but she wouldn't talk properly."
"0113"	"(2004-07-05 (13)) I was at this shop with some people. Zombies (Dawn of the Dead remake like) were coming. We got in a car and drove off. We went to some girl's house. I went to the toilet and it wouldn't flush, then a dead rat flew out and it was really freaky. I ended up on a boat where zombies couldn't get us (it was dark and stormy looking). There was a little house nearby. I went there and there was a big, fancy girl room. I went into the closet where there were lots of dresses and Goosebumps books. Zombies were coming so I went back to the boat. A kettle was being evil. Zombies broke in but then they turned normal because they liked us."
"0114"	"(2004-07-15 (13)) I had a boyfriend and I was 16. I was at someone's house looking after their kids for them and the house was on fire or something."
"0115"	"(2004-07-25 (13)) I was older and I knew Weiss (Alias) and some Laabandon guy. Weiss liked me, but kept it secret. I don't remember properly, but something happened and I was far from home and someone died."
"0116"	"(2004-07-25 (13)) I was at some place and I was on a computer. We weren't allowed on Urban-RPG, but I went on anyway and some guy came over so I had to get off. I was with some people and we were watching these people trying to save some dog, and they succeeded. I then went to Mom's house. I was in the kitchen and Colin Farrell was there and laughed at something and he was like, ""hee hee hee"", like he was teasing me. Then I realized his presence and blocked his face and Mom was like ""he's a nice guy, very cute"" and I was just like ""What the flip? EW!""."
"0117"	"(2004-07-26 (13)) I was at some animal place. If you pick up a certain animal, the place would look different. This little dolphin was all furry. I was near some water. I don't remember what happened but we were trying to get something off these bad people."
"0118"	"(2004-08-01 (13)) The police took Mom's pickup and Hyundai. She and Darren came to Dad's in this old Toyota car. We drove off and then I got out chasing a ball. Mom came back to where I was. A while later, Ezra and I were in the lounge room. These bad guys that had held up Captain Spaulding (House of 1000 Corpses) walked in and asked where Mom's pickup was. We said ""Out the back"" and he walked back out the front and said ""I'll be back in a sec"". So I closed and locked the doors. A few minutes later they left and we went into the office. They had taken my monitor, which was worth $2000. We ended up in Cash Converters at Northlands and they were there. They drove off and we went in and found out that they had hocked it for $500. The guy behind the counter said we couldn't have it because we couldn't prove it was ours."
"0119"	"(2004-08-04 (13)) Mom sent me, Ezra, Jayson and Virgil (I think) to a scary Christian school. I broke some girl's wrist. A big monster thing started killing people. We ran out and I hid behind a bush trying to call Mom. Captain Spaulding (House of 1000 Corpses) drove up and was talking to Ezra (?) and then he drove off. Mom came and got us."
"0120"	"(2004-08-04 (13)) I was at an Internet Cafe playing this demo thing of Sims 2."
"0121"	"(2004-08-04 (13)) Something happened and the Earth (not all of it) turned into some blob thing. Some people and I got somewhere safe. I looked over a wall thing to see the other side and I saw Widget so I brought her to safety."
"0122"	"(2004-08-09 (13)) Jayson and I liked each other and he kept grabbing my hand and playing some footsies type of thing."
"0123"	"(2004-08-10 (13)) Grady and Quincy were gone and Mom was renting the rooms downstairs to people. There was this hot guy living in Sammy's old room and I was friendly with him and we had a fight or something and then we made up."
"0124"	"(2004-08-10 (13)) I went to some school which sucked. The teacher asked me what I was going to do at the school. I said that I was going to leave. Some freaky thing was making people wander/run around in their sleep."
"0125"	"(2004-08-13 (13)) We went to this place and there were lots of House of 1000 Corpses shirts. There was one Otis one and Mom got it for this stupid guy and he ate it. I got really annoyed and this guy chased me or something."
"0126"	"(2004-08-16 (13)) I went to some prison cafe thing. Mom and I kept saying that ""marooned"" thing from Bottom Live 3. I was putting this stick thing out and tripping people over and hitting them."
"0127"	"(2004-08-16 (13)) There was a competition thing. Some guy and I won and it was a dream I'd had before. We had to walk on this jelly thing."
"0128"	"(2004-08-18 (13)) These four lesbians were doing some party to get girls to come and they were saying George Clooney was going to be there. There was this weird school, and there were bats and stuff flying around."
"0129"	"(2004-08-19 (13)) We were in this building and there was a fire and then we were upstairs and there was this flood coming because of a big 'The Day after Tomorrow' wave. We were staying on top floors. There was a strange bathroom thing."
"0130"	"(2004-08-20 (13)) I was at home and I was sleeping in Dad's bed and Mom was too. All of a sudden, Mittens screamed and we saw Tinkerbell and Tigger were inside but Dad hadn't let them in. We went back to sleep. I woke up a while later and Mom was gone. I got up and my computer had been stolen, along with the DVD player and the video player. I looked out the front and these men were taking our stuff to these cars. I rang Mom and she wasn't listening so I called the police and they came in about 5 seconds and I got my stuff back."
"0131"	"(2004-08-21 (13)) I had this ""imaginary"" friend who was Rick (The Young Ones). Anyway, he and some other people had gone to this place which had exploded. This black guy told us where to go and when we got there it was all exploded and everyone was dead. Mom found this little secret bit and we went in and found all our friends lying on the ground. I saw Rick and even though he was supposedly imaginary, I got upset, thinking he was dead. But then he jumped up and I slapped him in the face and then we made out. Then he said he wasn't invisible anymore or something. And Mom looked at blankets."
"0132"	"(2004-08-22 (13)) Some people I don't know and I were at some strange place. I was older. Baby and Otis (both House of 1000 Corpses) were there. Otis shot someone and then he went inside this shed thing. This girl and I went over to it and we were talking to him and then he snuck the gun around the corner and I was like ""Don't shoot me!"" and he said ""Don't worry I wouldn't hurt anyone as pretty as you,"" and I was like, quote: that noise that Rik Mayall always makes. Then we got trapped in this freaky place and there was all this food and the doors were all shut and locked but I found this door that wasn't locked and these two orange dragons came towards me and we all ran up the stairs and Otis got me and some other people to follow him and we ended up in this big orange room with these ribbons hanging from the ceiling and the dragons came in. There were evil people watching. We followed this orange ribbon to the wall and then went a little lower and we were swinging with these ribbon things. Then Rik Mayall was on the stage with his youngest daughter, Bonnie and then she touched something and then they went in this room and there was an explosion. Rik came out of the room crying, saying she had been blown up, and then there was something about his son getting sick."
"0133"	"(2004-08-22 (13)) We were at this school place and Ezra and I were fighting and there was a certain amount of points before something went wrong. Ezra's kidneys were down to one and then I hit him and he got sick."
"0134"	"(2004-08-23 (13)) There was some strange city thing and the sun (like in Chronicles of Riddick) came over completely and built a new city. I was in this place and some people were trying to kill me and I was climbing up this tube thing."
"0135"	"(2004-08-23 (13)) I was at ""Nana's"" and werewolves were around. I broke into a car to get my keys then I broke into my house. Then we were at Nana's and I was watching a werewolf movie. One of the werewolves looked like Bill Moseley and in the credits it said it was played by Staffy who, in the dream, was Bill Moseley. I went to bed and all the lights were turned off. An evil alien came. I was in Nana's bed and the aliens tongue was through the door and I can't remember."
"0136"	"(2004-08-27 (13)) I was at some weird school and this bomb went off a few miles away so we went over there and there were other schools there. The building was still in place but there were dead bodies everywhere. This guy, who was my friend, was with me and earlier on in the dream these people had done something that could make my pants fall down. Anyway, I told him and he said something about wanting something ""good"" to look at."
"0137"	"(2004-08-28 (13)) I was at this place with my ""friends"". There was Mary (House of 1000 Corpses) and her boyfriend, this other girl and Mike (The Young Ones) except he didn't have the same personality. Mike and I were dating or something. I had known them for a few months and I was staying with them for Christmas. Some strange stuff happened and we ended up in the basement or something where this big evil ghost guy came out and was going to kill us. One of us burnt him but something happened and the other girl that was with us got possessed, and then she died. We then got out of there."
"0138"	"(2004-08-29 (13)) I went to the shop and bought some stuff and there was $20 for Ezra. I drove the pickup but it was an automatic. Mom and Nana were talking about something and I'm not sure if this was the same dream but everything ended up getting flooded."
"0139"	"(2004-08-30 [?] (13)) Rik Mayall and Adrian Edmondson owned some shop. It was really gay but was really big. I can't remember properly, but there was something about kids and some religious thing."
"0140"	"(2004-09-02 (13)) I was still at school and the guys from The Young Ones had come to the school. I caught up with Alexei and later on when I saw him again he gave me and Tiana autographs and took us over to the rest of the guys for autographs and photos. He was dressed as a vampire and was putting on a little show and this weird music was playing. 'House of Fun' then started playing and everyone was like eh? [It was my phone ringing in real life] ."
"0141"	"(2004-09-03 (13)) I was in this house place underground with talking bears. I couldn't leave and then I managed to escape and we were getting ice-cream. I found an extra episode of The Young Ones."
