"n"	"dream"
"1876"	"(2008-01-25 (17)) I was at a place. I don't remember it properly, but there was this game where you drag a barrel to this thing over the water and create points. It was then a Runescape skill and you could have different pets. I left there and we needed to pick something up. Someone called Ari (Entourage) to ask where he was (he was dropping something off) and he was driving. He said ""Yeah, I'm on the runway!"" (a joke). I was going somewhere and Mom was picking up the thing. I was almost home when I realized that I was driving alone. I had been going 120km/h as well. I called Mom but she was just like ""it doesn't matter"". When I turned onto our street I was walking. There was a really big truck on the street. This lady said it was nuclear. This fat guy was walking with me. I got home and these two guys were standing out the front. One of them was Christian Camargo. They had been there earlier that day too. I said ""you guys are still here!"" and unlocked the doors and went inside.  They came in too and the fat guy was following me around. Christian asked if he was supposed to still be around and I said no, so this guy there shouted ""Austin! Go away!"". Ezra was somewhere too. This guy had a board of who he was interested in lately. It said ""Fergie, blood period"" and Rihanna was there too, but she looked like Emilie de Ravin."
"1877"	"(2008-01-26 (17)) I was watching an early season of 24. Jack was looking for information. This money had been passed down for 200 odd years. Someone told him something about his son and it looked like he was going to steal it. People started shooting at Jack. Then Jack was driving a car down a road that was 'cliff-like'. This girl he worked with was driving behind him, guiding him. Then this guy, that girl and I were at this forest thing. They were bad guys. Jack was hiding somewhere. There was a thick bushy area a thin area. The girl downloaded a map and told us to take the thin area. I figured she was going to kill us and walked slowly. She was pointing a gun at us and I yelled out ""Kiefer!"" and she looked shocked. I managed to get out of sight and was making my way around this fence. She was like ""I'm gonna die, I'm gonna die!"" and I was waiting for her to point the gun at me. Then she did and I woke up."
"1878"	"(2008-01-26 (17)) I was watching an episode of The Outer Limits. Frank Whaley was in it. He and this guy were friends and he always took this bus. He was worried about a white light. These people were after him and to go to him, I had to go through the aisles of a video shop. One of the times I grabbed some movies and one of them was Invasion of the Body Snatchers with Donald Sutherland. This guy said something and I said ""Yeah, it's the remake"". One day we were riding the bus and it was weird. I tried to get over to Frank, but I fell into a seat nearby. This guy was talking to him across the bus. I went into the seat next to him and he held my hand. An impression of a monkey's face appeared in the seat in front of him. We looked at each other worried and then there was a bright light and then he was gone. It had happened to someone before. The other guy got off and was in a crowded area. His face turned monkey-like and people started screaming. Then I was watching this other episode and this girl and some other people were jumping off this bridge, but they didn't get hit by cars and landed in this gymnastic area. Her sister was naked and kept having hallucinations."
"1879"	"(2008-01-26 (17)) I was driving by myself. There was a red light. I didn't slow down in time and pushed the car in front of me. We both ended up having to go through the red light."
"1880"	"(2008-01-26 (17)) I was at a school. Tiana there and I think we were friends or I was friends with a loner. I went to a bench and sat at the edge because it was the only dry spot. I saw Evelyn there too. Jillian was there and got up and complained that I was sitting next to her. I called a retard and she was circling me and I complained. She was touching me lightly and then grabbed my shoulders so I kicked her in the face."
"1881"	"(2008-01-28 (17)) We went to Nana's. I was at the table doing a 1000 piece puzzle. I had almost finished it and then realized that it had pieces that weren't in the puzzle and I'd just had extremely good luck picking the right pieces. Calvin, Ezra, and Emery, I think were there. They were mucking around and Nana was a bit annoyed."
"1882"	"(2008-01-28 (17)) Someone jumped over a sand pile and they fell and hurt something. Liz (Roswell) was hiding out with someone and their fathers. There was a CD and a phone on the floor. She had to prove something and went to give them the CD but it was gone. She went into a bedroom with a bunk bed to have a shower (she thought the shower was under the top bunk, but it wasn't). She found something that said ""only Jason Lee!"". It was from some colourful video game. Then Liz was in a car at a shop. She was trying to put L plates on while she was parked in the car park. She saw these two girls and she thought they were going to steal the plates so she locked the doors and took them off. She had to go inside and took the car with her (it was small and she was holding it in her arms). This lady gave her car stuff. She went down these escalators that had been stopped and was in the main part of the shop, which was a clothes shop. Someone thought that she was with ""Tess, not Tuck"". Tuck was Tess' father. Isobel and Michael (Roswell) were there trying to get the car and kill her. She whacked Isobel with something and she passed out. Eugene went after her and he got hit too. Max (Roswell) appeared and Liz had short blonde hair. Max said ""Liz? You're behind 'Runaway'?"". They ran out and this black guard stopped Eugene from following them. Liz was saying that the keys were in the car and it was locked."
"1883"	"(2008-01-29 (17)) I was at home and it was the first day of school. I was getting ready and realized that my hair hadn't been straightened so I called Mom. She said that the hair straightener had been ""nicked"" but she was just about to come over. I was shaving my legs. I realized that I had no school bag or anything. I woke Dad up and Ezra was in his bed. Mom said Ezra had seen this dude who had said that Ezra's stress was due to being left home alone so this woman would randomly check to make sure someone was with him. I thought it was 6pm but I checked the time and it was 11am. I said we should go shopping for school stuff instead of going to school. Later I was at home and this creepy dude, who looked like the driver guy in Superbad, was outside so I got in the car and drove to Mom's. But I couldn't control the car and Ezra was making me drive erratically. We went to Midvale shops. Some people had been to a Britney Spears concert. Sean Astin (as Harrison Bergeron) had rebelled and was going to be killed. They trapped his head between two fridges and let this blue stuff out. He died. Then it was the future and there were other planets we lived on. There were some bugs and snakes somewhere and I screamed and ran."
"1884"	"(2008-01-29 (17)) I was playing a game, I think. This 'God' guy was making things hard for us. One of his obstacles were these tornados in a desert place. One was useful, the others were bad. The last person standing won and that was me. The God guy and I went to this water and had to swim over these waves. At the end there were two 'roll-y' waves on top of each other. The God guy told me to swim under but I was worried. Then I saw Dad through this window next to me. I had let him use my computer to play a Powerpuff Girls game. I told him that I was ok. Then I got the God guy to help me go over the sides. The first time I tried I almost drowned myself. I told him if I did a hand motion it meant I needed air. We got over it and then I was moving fast underwater. I hit the guy and he came up for air. He said he'd gone fast so we didn't have to swim. Then it was Runescape and the world had really pretty houses. He asked if I was going to ask Jagex to keep this and I said ""no, I want to do everything myself"". Ezra and Dad were then outside somewhere and we were getting hot dogs."
"1885"	"(2008-01-30 (17)) I was at a shop and getting food and snacks. They kept disappearing and I thought it must be because I kept forgetting them. I put them in a bag. I was in the electronics section and this guy was there and he was checking this girl's bag and they were giggling. As I was leaving, there was someone from school I didn't like and she was surrounded by her friends. She called me and I kept walking. Then she said ""fine"". She gave me this purple watch. I was then at this men's wear section and there were lots of girls there. Then I went to this food hall part. There was a guy nearby doing these family tree things. I had bought two books earlier and they were in a shopping bag."
