"n"	"dream"
"1031"	"(2007-01-25 (16)) This dude, girl and I were on a boat. We had to go fast somewhere and we all had to hold on tight to each other. We did this a second time and the girl was dying, but sometimes she was Spaceman. He kept trying to escape. We ended up at this hospital which looked more like a hotel. It was now a girl again, and her parents came. Her father brought wire to strangle her. I took it off of him. I was upset because she was dying and I was thinking about Vivian for some reason."
"1032"	"(2007-01-25 (16)) These two guys were joined at the hip. There was a knife stuck through the middle of one of them, I think. I had to pull it out, but if I did, it would probably kill one of them."
"1033"	"(2007-01-25 (16)) I was in a toilet. I heard Ezra's friends outside and I tried to hide but couldn't, so I walked out and screamed at them, but at the same time they screamed at me."
"1034"	"(2007-01-25 (16)) I was putting heaps of blankets on my bed. Tigger was there. I saw Tinkerbell. I told Mom and Ezra that Tigger was seeing Tinkerbell. She said ""Has anyone else seen Tinkerbell?"" and I said that I had."
"1035"	"(2007-01-26 (16)) There was some teacher woman called Melissa and she had been in my Year 1 class. She was fat. I think something happened to a boat."
"1036"	"(2007-01-26 (16)) Ted Bundy had disappeared for some years. I went to some jail because I had to go do something quickly and I went to this room with people doing a test. The teacher came in and was annoyed that I was there, but then kicked out this guy who looked like John Cazale, and told me to sit the test. I said ok, but that I needed to go to the toilet. I found Ted and we left. John Cazale and company were hanging around outside somewhere. Some girl started abusing me and Ted. I said I was sorry for what happened to John, though I actually wasn't. They left and Ted was like ""What the hell?"" We were both trying to avoid him. We were then at a hotel. Ezra was there. Ted and I were sharing a bottom bunk. The bed was actually in the wall, but Ezra was taking the one on top. Ted put his arm around me and we were making out. We ended up having sex. All these people were watching through the windows. I closed the blinds, but they weren't really helpful."
"1037"	"(2007-01-27 (16)) Mom was telling Ezra and I stories. She was telling Ezra something and I heard ""Grabbage"". I asked her to repeat it because it was a teacher I had before (I was thinking about Mr Grabski). I told her and she was embarrassed (she'd had sex with him). I went to Plainfield. I had been there before and there were heaps of people from Brookland in the hall. I remember seeing Daryl and Dmitri. I met with some people outside. We had to go in groups and do sport things. I didn't have some $1000 contract that would allow me to participate. I told the leader teacher, who was Mr Grabski. I text Calvin to see if he remembered him. Calvin ended up at my house looking for something later. We had to put our bags in these lockers. Calvin went off in some group. Tiana went with me. I was going through a yearbook from 2004. Parvati and Eliska were there. The music video for Od-na came on and I said ""I love this song!"". Tiana went for a drive, then she came back. I then ended up lost somewhere with Dmitri and 'Mr Simon Grabbage'. I was following them. Then it was Runescape like, and I died somehow. I asked some random to get my stuff and then I text Dmitri. I was in some snowy place with 'Jupiter rocks'."
"1038"	"(2007-01-27 (16)) There was this weird animal which was made of rubbish. It was weird. Mom knew what it was, but wouldn't tell anyone. I was with Silas somewhere and there were benches."
"1039"	"(2007-01-29 (16)) I was in bed at Mom's. Ezra and Mom woke me up."
"1040"	"(2007-01-29 (16)) I was at Mom's, but it was different. Ezra, Mom, Darren and I were leaving and I saw someone run into the house. Mom went in and called the cops. The guy ran out and went near the old person's home, which was a shop and was hanging around there. He started shooting and I hid behind a tyre on the car. I lay down and pretended to be dead because he started running over. He put the gun on me and was looking for the bullet holes. It turned into a 'movie' and he realized I had none and I grabbed the gun and said (though not me) ""Blow on this!"" and shot him. Later, I was at home and Clayton was there. I asked if anyone else was alive. He said everyone was. I went down the hall and my room and Dad's room were dark. The lights wouldn't turn on. I saw shadows in my room moving. I said that I knew it was a dream. I closed my eyes wishing for Ted Bundy, but then I woke up (dream within a dream)."
"1041"	"(2007-01-29 (16)) I was watching Devil's Rejects. There were heaps of new characters. Otis and Baby were at this pub. Otis had a strong accent and I was thinking 'What? This sucks!'."
"1042"	"(2007-01-31 (16)) I was in a car with Mom and Ezra. I think Clayton was there. We were talking about movies and Ezra asked ""Which Scarface do you like better?"" and I was like ""What the hell?"". A movie was being made in this place. I was walking with some guy. People had tape all over the backs and stuff. I asked someone if that was where they were supposed to get shot. They ignored me. I was standing with these REALLY tall girls. There were two guys nearby and my friend said ""fat gay man""."
"1043"	"(2007-02-01 (16)) I was in a building and I was looking at my timetable for school and looking at the teachers that I had. The Wayans Brothers were listed. Tom Cruise and Kiefer Sutherland were the drama teachers. I think Eddie Murphy was there too. I was telling Mom about them all being actors. I was in some room and someone came running in trying to shut the door. Someone was after him trying to kill him. We all started running and we jumped through this 'screen'. We didn't know where to go. I ended up in this office area and Christopher Lloyd was there. Christopher was going to hide behind a desk and I squeezed in near him. He said something, but I all remember is ""shaved leg"". I pulled this curtain so that I couldn't be seen. Christopher ended up moving. I ended up at home and I was trying to find somewhere to hide. I couldn't fit anywhere and the person arrived. I rewound time. This whole thing had happened before, and it kept happening again and again and I couldn't stop it."
"1044"	"(2007-02-01 (16)) I was at this place near a lake. There was a bird in there. This girl was dying and she jumped in to save it. She said that we had to give it to her mother because she knew how to revive it. The bird kept 'biting' me."
"1045"	"(2007-02-01 (16)) Ezra was doing weird things in bed, and I thought he was 'touching himself'. I was at a shop with Mom. They had Simpson's stickers there (for the book) and Mom was going to buy me two packs. This lady said ""Only two?!"". A girl came in and ordered some food. She ordered bananas, gravy and cucumbers."
"1046"	"(2007-02-02 (16)) I was in Dad's room and there were lots of cats. There was a ginger one, a black one and two big blue ones. They had blue rectangle patterns. They acted and looked like dogs. I was friends with Hayden Christensen. I was then at a shop with Nana. I was allowed to get one thing. I found a book about Peter Paige and Nana said she knew him and used to flirt with him and I was like ""He's gay!"". Then, we were fishing and there was this duck or parrot. I was then on a bus with Calvin. I had this Star Wars sticker book. It was all cartoon-like though. Hayden Christensen got on the bus and I called him ""the dude who played the guy in Star Wars"". He was crying and upset. I went to talk to him."
"1047"	"(2007-02-03 (16)) I was at 'school' and I was on the computers. There was a long line of computers. A teacher was talking to Eugene. He said that he liked computers and the teacher said ""so does Izzy"". His friends were like ""You don't want that!"". Later, we had something else in common and they said ""You REALLY don't want that!"". I saw Mr Nixon and I was thinking 'What the hell is he doing here?'. He was married. Jeremiah took my computer when I got up."
"1048"	"(2007-02-03 (16)) I was in the games room and I got trapped behind this thing. Someone else was trapped somewhere close by. There was a blanket and a blow-up airplane. I got bored so pretended to be an airplane. Nana came eventually and got me out."
"1049"	"(2007-02-03 (16)) I was watching The Simpson's Movie and it was just a lot of flashbacks and was only short. It really sucked."
"1050"	"(2007-02-03 (16)) I had weird school subjects; one of them was 'Jackass'."
"1051"	"(2007-02-04 (16)) I went to 'school' without my hair straightened. I was playing this game where you pick up sticks in this jungle setting. I was trying to pick the same colours as some friend of mine, hoping we'd get put in a group together. I was then sitting down somewhere with Calvin. Other people were sitting down too. Thuy kept following me and kept giving me some of her ""cookie cake"", as she called it. I couldn't find my water bottle and Thuy went looking for it. There were holograms. Harlan was being a retard like usual. There were lockers and mine was 22 or 23? Mine was above Jack Nicholson's. I was counting the lockers in weird ways, but kept stuffing up. Ms Rodrigues was there, except she was Bailey (Grey's Anatomy). Harlan found out that I had Myspace and was like ""Why the hell do you have one?""."
"1052"	"(2007-02-04 (16)) I was at a house and it was dark. I was Clark Kent (Smallville, as in Tom Welling). I walked down some hall and there was a person there. It was actually a premonition and I was someone else (I wasn't Clark). Then, Clark was there and he said that he thought someone was here so he carefully walked down the hall, but they left. Mom and Darren were outside. Police came."
"1053"	"(2007-02-07 (16)) Dad and I watched a movie. There was a piece of paper on the back door to see if I had gone out the back. I had some medicine thing in the cupboard that was Michael Palin's or something. It was one year old and there was a ransom note. I was thinking 'Oh my God! I've killed him!'. There were photos of him being tortured. I was going to watch another movie with Dad which had Marlon Brando in it and was supposed to be really funny. I ended up watching the beginning of another movie."
"1054"	"(2007-02-07 (16)) Mom was trying to guess who I liked. She had Eugene, Daryl, Calvin and Orlando Bloom written down. She found out that I liked dark hair and so she crossed off Calvin. She had already crossed off Eugene. I noticed that Dmitri wasn't listed."
"1055"	"(2007-02-10 (16)) I went on Flyff and was killing stuff without Clayton. It was too hard and I was saying to Ezra ""I need Clayton!""."
"1056"	"(2007-02-10 (16)) Some people tried to sneak me on this plane. Some security bloke asked me to sit next to him and they realized that I had snuck on."
"1057"	"(2007-02-10 (16)) I was running through these walls with someone. There was a big house and there was a girl after us. She burnt this guy's brother."
